Player,Base Price,TYPE,COST IN ?? (CR.),Cost IN $ (000),2021 Squad,Team
Rashid Khan,Draft Pick,BOWLER,15,1950,SRH,Gujarat Titans
Hardik Pandya,Draft Pick,ALL-ROUNDER,15,1950,MI,Gujarat Titans
Lockie Ferguson,2 Cr,BOWLER,10,1300,KKR,Gujarat Titans
Rahul Tewatia,40 Lakh,ALL-ROUNDER,9,1170,RR,Gujarat Titans
Shubman Gill,Draft Pick,BATTER,8,1040,KKR,Gujarat Titans
Mohammad Shami,2 Cr,BOWLER,6.25,812.5,PBKS,Gujarat Titans
Yash Dayal,20 Lakh,BOWLER,3.2,416,,Gujarat Titans
David Miller,1 Cr,BATTER,3,390,RR,Gujarat Titans
R. Sai Kishore,20 Lakh,BOWLER,3,390,CSK,Gujarat Titans
Abhinav Sadarangani,20 Lakh,BATTER,2.6,338,,Gujarat Titans
Matthew Wade,2 Cr,WICKETKEEPER,2.4,312,,Gujarat Titans
Alzarri Joseph,75 Lakh,BOWLER,2.4,312,,Gujarat Titans
Jason Roy,2 Cr,BATTER,2,260,SRH,Gujarat Titans
Wriddhiman Saha,1 Cr,WICKETKEEPER,1.9,247,SRH,Gujarat Titans
Jayant Yadav,1 Cr,ALL-ROUNDER,1.7,221,MI,Gujarat Titans
Vijay Shankar,50 Lakh,ALL-ROUNDER,1.4,182,SRH,Gujarat Titans
Dominic Drakes,75 Lakh,ALL-ROUNDER,1.1,143,CSK,Gujarat Titans
Varun Aaron,50 Lakh,BOWLER,0.5,65,,Gujarat Titans
Gurkeerat Singh,50 Lakh,ALL-ROUNDER,0.5,65,KKR,Gujarat Titans
Noor Ahmad,30 Lakh,BOWLER,0.3,39,,Gujarat Titans
Darshan Nalkande,20 Lakh,ALL-ROUNDER,0.2,26,PBKS,Gujarat Titans
Pradeep Sangwan,20 Lakh,ALL-ROUNDER,0.2,26,,Gujarat Titans
Ravindra Jadeja,Retained,ALL-ROUNDER,16,2080,CSK,Chennai Super Kings
Deepak Chahar,2 Cr,BOWLER,14,1820,CSK,Chennai Super Kings
MS Dhoni,Retained,WICKETKEEPER,12,1560,CSK,Chennai Super Kings
Moeen Ali,Retained,ALL-ROUNDER,8,1040,CSK,Chennai Super Kings
Ambati Rayudu,2 Cr,WICKETKEEPER,6.75,877.5,CSK,Chennai Super Kings
Ruturaj Gaikwad,Retained,BATTER,6,780,CSK,Chennai Super Kings
Dwayne Bravo,2 Cr,ALL-ROUNDER,4.4,572,CSK,Chennai Super Kings
Shivam Dube,50 Lakh,ALL-ROUNDER,4,520,RR,Chennai Super Kings
Chris Jordan,2 Cr,ALL-ROUNDER,3.6,468,PBKS,Chennai Super Kings
Robin Uthappa,2 Cr,BATTER,2,260,CSK,Chennai Super Kings
Mitchell Santner,1 Cr,ALL-ROUNDER,1.9,247,CSK,Chennai Super Kings
Adam Milne,1.5 Cr,BOWLER,1.9,247,MI,Chennai Super Kings
Rajvardhan Hangargekar,30 Lakh,ALL-ROUNDER,1.5,195,,Chennai Super Kings
